duration,peak_mag,rms_mag,sta_lta_ratio,dom_freq,peak_ax,peak_ay,peak_az,rms_ax,rms_ay,rms_az,label
60.0,64682.75720634239,11889.233949595171,1.077243300159322,0.0,31927.32,59199.605,54457.137,6152.213523628491,7764.142672323977,6574.362420165699,real_quake
60.0,12268.994930651914,1629.1560156630057,1.1177013995070388,0.0,8176.72,11905.735,4654.1304,978.474904621451,1120.0357011895173,665.0234675993836,real_quake
60.0,5724.520993998461,558.7756588878758,1.1565733865574708,0.0,5076.021,3541.3235,1983.8029,387.9510817716549,322.9890311451543,239.5877310667159,real_quake
60.0,15301.630635731453,1409.0889795527937,0.935024378295659,0.0,14266.741,10291.741,9047.335,853.8103204246943,841.449530146712,740.6094633808639,real_quake
60.0,14305.356153228358,1081.2636748625898,1.0621786035047192,0.0,8553.41,13816.228,4104.618,684.1049598181797,745.6656085447293,380.9387598592949,real_quake
60.0,71420.8874744209,10530.176548189367,1.1290414694373025,0.0,51010.05,50305.695,28694.242,6424.590264484491,7234.731187753216,4155.469012094703,real_quake
60.0,360.3126002904785,38.20259209032608,1.0317268165099063,0.0,351.74213,195.71918,126.8379,29.27045171151235,20.202039829539626,13.948343476899419,real_quake
60.0,2740041.5076182904,499003.80459803884,1.2669747328793977,0.0,1287790.6,2618352.5,1058275.6,260299.30741748,386678.2283624784,178126.40251168006,real_quake
60.0,214531.91642305432,30877.463986868897,1.2081022820331668,0.0,126966.41,191781.75,49486.074,19661.039077873746,21266.849481498055,10704.31865043325,real_quake
60.0,5498.272604124976,994.6661371146946,1.0672660031277243,0.0,5081.5776,5230.313,2904.4487,555.463211813911,687.6003995405343,456.09980837064643,real_quake
60.0,5608.659116936571,474.95412497982477,1.072039494208371,0.0,5443.36,3602.8147,907.0205,345.3006301403389,303.9912082172692,118.06032774239101,real_quake
60.0,2478.2307961408324,405.97588281593676,1.0853073185629802,0.0,2477.358,1896.8585,1487.8042,255.8153827120045,224.32643049012466,221.47812528475396,real_quake
60.0,5946.1072663339355,1018.7236641408209,1.0375842334497212,0.0,5336.6123,4250.383,2266.2507,818.6358818555826,526.46598043479,300.7769410441363,real_quake
60.0,17240.912649411675,2035.6301472778464,1.0200432463108187,0.0,12676.953,9155.319,13274.679,1126.6725537162708,1194.0295502554934,1203.6164199301818,real_quake
60.0,15630.950693224742,1429.9100345703455,1.0356326659425767,0.0,10528.266,15458.475,7096.239,747.7902440190537,1060.5181568997154,600.6277522733368,real_quake
60.0,52967.90996128002,10731.040471304525,1.0623873565011706,0.0,43811.28,52394.05,28917.293,6672.526374312814,7498.679904756693,3795.0521823650465,real_quake
