time,magnitude
0.0,0.24835707650561634
0.01,-0.06913215058559233
0.02,0.32384426905034625
0.03,0.7615149282040127
0.04,-0.11707668736166799
0.05,-0.11706847847459027
0.06,0.7896064077536957
0.07,0.3837173645764544
0.08,-0.23473719296747605
0.09,0.27128002179298233
0.1,-0.23170884640623113
0.11,-0.23286487678512843
0.12,0.12098113578301706
0.13,-0.956640122328899
0.14,-0.8624589162565164
0.15,-0.28114376462048635
0.16,-0.5064155601672119
0.17,0.15712366629763694
0.18,-0.45401203776060545
0.19,-0.7061518506676457
0.2,0.732824384460777
0.21,-0.11288815024326783
0.22,0.03376410234396192
0.23,-0.7123740931067284
0.24,-0.27219136226259133
0.25,0.05546129485493304
0.26,-0.5754967887111514
0.27,0.18784900917283598
0.28,-0.3003193449594025
0.29,-0.1458468748966384
0.3,-0.30085330611469846
0.31,0.9261390922544689
0.32,-0.0067486123689669605
0.33,-0.5288554644779502
0.34,0.4112724560515945
0.35000000000000003,-0.6104218249855111
0.36,0.1044317975023777
0.37,-0.9798350619398878
0.38,-0.6640930244492153
0.39,0.09843061793456176
0.4,0.3692332899977052
0.41000000000000003,0.08568414059498525
0.42,-0.057824141194120264
0.43,-0.1505518477946444
0.44,-0.7392609951837137
0.45,-0.3599221041973543
0.46,-0.23031938547989375
0.47000000000000003,0.5285611131094579
0.48,0.1718091447842307
0.49,-0.881520077681367
0.5,0.1620419846973975
0.51,-0.19254114020815827
0.52,-0.33846100015297936
0.53,0.30583814442043394
0.54,0.5154997612479755
0.55,0.4656400595580993
0.56,-0.41960876161131927
0.5700000000000001,-0.1546061879256073
0.58,0.16563171570178198
0.59,0.4877725635611796
0.6,-0.23958711892264498
0.61,-0.09282948833190856
0.62,-0.5531674870030141
0.63,-0.5981033120403354
0.64,0.406262911197099
0.65,0.6781200142854115
0.66,-0.03600506079016692
0.67,0.5017664489460121
0.68,0.18081801252381707
0.6900000000000001,-0.32255987730256214
0.7000000000000001,0.18069780275420697
0.71,0.7690182832329846
0.72,-0.01791301955497577
0.73,0.7823218279070031
0.74,-1.3098725520448722
0.75,0.4109512521876119
0.76,0.04352353411908561
0.77,-0.14950367523293373
0.78,0.04588038826775115
0.79,-0.9937844573004464
0.8,-0.10983594391875597
0.81,0.1785562857558732
0.8200000000000001,0.738947022370758
0.8300000000000001,-0.2591351091368237
0.84,-0.4042468014465938
0.85,-0.25087852179226827
0.86,0.45770105885103707
0.87,0.16437555482984223
0.88,-0.2648801018835194
0.89,0.25663371655667805
0.9,0.048538774674020194
0.91,0.4843224952664446
0.92,-0.3510265469386762
0.93,-0.1638310732988841
0.9400000000000001,-0.19605407656607882
0.9500000000000001,-0.7317574740660593
0.96,0.14806013853228803
0.97,0.13052763608994467
0.98,0.002556728321230445
0.99,-0.11729356668757346
1.0,-0.7076853710252071
1.01,-0.21032266138267952
1.02,-0.17135725826338474
1.03,-0.40113863461080945
1.04,-0.08064285583300457
1.05,0.2020254284072692
1.06,0.9430929506052651
1.07,0.08728890641591948
1.08,0.12877519536138218
1.09,-0.03722295788308361
1.1,-0.9593856076495207
1.11,-0.013256937724608439
1.12,0.03011510497051322
1.1300000000000001,1.231621056242643
1.1400000000000001,-0.09618048239056126
1.1500000000000001,0.15077367116680623
1.16,-0.017355884852621656
1.17,-0.584339018809766
1.18,0.5714114072575103
1.19,0.37596651634338707
1.2,0.39551597352152346
1.21,-0.45469372739736946
1.22,0.7013971554680496
1.23,-0.7009255313961404
1.24,0.29342854690013515
1.25,1.0952278129049893
1.26,-0.49526816256534417
1.27,-0.28314886480138596
1.28,0.04982568254382061
1.29,-0.2517378270580996
